#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,0.3000000000000002,-393957.4051808831,40158.78450130619,183.35705670129155,263.45962028145544,0.9990682424221118
200,0.6000000000000004,-387216.2801808831,46102.56375973561,210.49517564690748,263.45962028145544,0.9990682424221118
300,0.9000000000000007,-381173.4598683831,50564.65377181888,230.868194937997,262.1097506713989,1.0042134606193123
400,1.1999999999999935,-377379.7020558831,54255.665685667744,247.72062434234604,258.90570294087763,1.016640949944223
500,1.4999999999999827,-373845.0536183831,56937.83935757587,259.9668981315035,258.588042092334,1.0178898361038862
600,1.7999999999999718,-371347.0223683831,59034.630938150454,269.5404332248702,257.67325429011373,1.0215035336474558
700,2.0999999999999686,-367966.6317433831,59653.43195934425,272.36575613588,256.7129848137915,1.02532460512161
800,2.39999999999998,-365597.5536183831,60645.73221768555,276.89640259325665,256.0619579651713,1.027931450167198
900,2.6999999999999913,-363994.9754933831,61914.584916896245,282.689732725228,255.14084595933423,1.0316424984564925
1000,3.0000000000000027,-362428.7098683831,62064.34369817964,283.3735016612724,255.14084595933423,1.0316424984564925
1100,3.300000000000014,-361913.3270558831,63258.83630752214,288.8273183497074,254.8223944819865,1.0329317418073212
1200,3.6000000000000254,-361232.3739308831,63298.37114319811,289.00782657964345,255.053423594385,1.0319961052645334
1300,3.9000000000000368,-359966.4754933831,63368.83028045925,289.32952904614854,254.07754473968447,1.0359598682892939
1400,4.200000000000048,-359966.1864308831,64043.30351695958,292.409040266526,253.8275668633556,1.0369801162120746
1500,4.5000000000000595,-359372.6317433831,64524.485573349404,294.6060222392808,253.8275668633556,1.0369801162120746
1600,4.800000000000071,-358454.3504933831,64587.561891304795,294.8940162149819,253.48743772013418,1.0383715349018414
1700,5.100000000000082,-358171.4598683831,65524.109577904805,299.1701074714241,253.48743772013418,1.0383715349018414
1800,5.400000000000094,-357381.9286183831,65034.36053512769,296.93401033549196,253.48743772013418,1.0383715349018414
1900,5.700000000000105,-357087.2098683831,64713.391099149594,295.4685274578888,253.48743772013418,1.0383715349018414
2000,6.000000000000116,-357042.3583058831,65125.465756196994,297.3499787317676,253.1388366595922,1.0398014909808058
2100,6.300000000000128,-356081.6551808831,65118.05928217189,297.31616223819987,253.4054194643195,1.0387076185671404
2200,6.600000000000139,-356372.3973683831,65191.799703305995,297.65284639701997,253.4054194643195,1.0387076185671404
2300,6.9000000000001505,-357560.8036183831,65979.43770845758,301.2490455391025,253.4054194643195,1.0387076185671404
2400,7.200000000000162,-357327.5458058831,65407.731458023714,298.63874802439864,253.0880300456557,1.0400102278100956
2500,7.500000000000173,-356220.0536183831,65179.17415468593,297.59520064247437,253.00831984210865,1.040337882754413
2600,7.800000000000185,-356584.4598683831,65430.691793541424,298.7435803691442,253.3386046159809,1.0389815645459144
2700,8.100000000000195,-356479.1239308831,65494.47239143902,299.03478994758075,253.3760507742719,1.038828014642486
