#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,0.4000000000000003,-255563.19426043762,17655.51914034135,130.21037935435245,163.10091157882945,1.0022998578711135
200,0.8000000000000006,-248228.00676043762,25543.301659520017,188.38318899664245,162.51075429356985,1.005939706604255
300,1.2000000000000008,-242936.88176043762,30584.874894792563,225.5650559408787,161.94340147008637,1.0094639177027942
400,1.6000000000000012,-239304.38176043762,33340.966647751746,245.89137712325766,160.89339161446472,1.0160518020891351
500,2.0000000000000013,-236321.00676043762,35489.3709530207,261.7359715173359,159.98213763545735,1.021839205990695
600,2.4000000000000017,-232943.63176043762,36758.73419629969,271.0975919903453,159.98213763545735,1.021839205990695
700,2.800000000000002,-231348.50676043762,37829.584200473735,278.9951669167327,159.7372943113398,1.0234054683277845
800,3.2000000000000024,-229604.69426043762,38378.04001404205,283.0400572978178,158.70575621273554,1.0300572858553412
900,3.6000000000000028,-228273.38176043762,39024.559284914285,287.80817081807226,158.4995589408148,1.0313973211443022
1000,4.000000000000003,-227592.44426043762,39649.51620285993,292.41726085496003,158.84536950356616,1.0291519419484223
1100,4.399999999999959,-227383.31926043762,40515.50936954422,298.80400586403704,158.84536950356616,1.0291519419484223
1200,4.799999999999915,-226398.50676043762,40393.111817608355,297.9013175010992,158.66205287251736,1.030341014341094
1300,5.1999999999998705,-225908.25676043762,40614.90174272668,299.5370298274869,158.66205287251736,1.030341014341094
1400,5.5999999999998264,-226144.50676043762,41026.14692584751,302.5699846149482,158.32986610435694,1.0325027394791138
1500,5.999999999999782,-225901.50676043762,40529.734033870045,298.90891350925165,158.08984599825527,1.0340703380526666
1600,6.399999999999738,-226010.50676043762,40168.829297542106,296.24722215628157,158.12459050437687,1.0338431231515812
1700,6.799999999999694,-225885.13176043762,40434.14532800508,298.2039417916979,156.92326672346888,1.0417576941103848
1800,7.19999999999965,-226240.25676043762,40841.49846178052,301.2081925111734,157.3993583832198,1.0386066510899947
1900,7.599999999999606,-226246.06926043762,40802.14541031612,300.91796169330854,157.3993583832198,1.0386066510899947
2000,7.999999999999562,-225367.44426043762,40485.534682097845,298.58294097252093,157.3993583832198,1.0386066510899947
2100,8.399999999999519,-225583.00676043762,41199.69212679821,303.8498895710866,157.3993583832198,1.0386066510899947
2200,8.799999999999475,-225476.56926043762,40447.92335308553,298.30555544906014,157.3993583832198,1.0386066510899947
2300,9.19999999999943,-225657.63176043762,41149.35085883667,303.47862008043336,157.3993583832198,1.0386066510899947
2400,9.599999999999387,-225737.25676043762,40864.77544345637,301.37986147146535,157.09137274389974,1.0406428923415085
2500,9.999999999999343,-225363.88176043762,40759.47070042422,300.6032334703834,157.17841404927609,1.0400666114550527
2600,10.399999999999299,-225994.75676043762,41489.48904931592,305.9871570689611,157.17841404927609,1.0400666114550527
2700,10.799999999999255,-225349.88176043762,40883.33723450615,301.5167556536685,157.0071827697702,1.0412009031066134
2800,11.19999999999921,-225509.25676043762,41277.32869259834,304.4224633144156,157.0071827697702,1.0412009031066134
2900,11.599999999999167,-225111.75676043762,40650.83020132163,299.8020040933852,157.27001571484848,1.0394608263441245
3000,11.999999999999122,-225427.00676043762,40972.897444787086,302.1772669002106,157.49849633194376,1.0379528967030127
3100,12.399999999999078,-225797.88176043762,41247.62260275311,304.20337934429074,157.49849633194376,1.0379528967030127
3200,12.799999999999034,-225673.88176043762,40235.909445235506,296.74194176259135,158.14388643800783,1.0337169787350091
3300,13.19999999999899,-225823.50676043762,41095.31037910306,303.08006870900834,157.59819378961336,1.0372962821664258
3400,13.599999999998946,-225822.63176043762,40952.715407466865,302.0284233168121,157.59819378961336,1.0372962821664258
3500,13.999999999998902,-225924.75676043762,41060.141094216146,302.8206933890109,157.72326008815205,1.036473760450694
3600,14.399999999998858,-225270.19426043762,40611.10365233192,299.5090187116883,157.72326008815205,1.036473760450694
3700,14.799999999998814,-225465.13176043762,41112.438172141934,303.20638708069527,157.72326008815205,1.036473760450694
3800,15.19999999999877,-225011.25676043762,40446.46914994775,298.29483062467386,157.3274089658401,1.0390816296326646
3900,15.599999999998726,-225997.88176043762,40536.26739839767,298.9570974151929,157.06777189946303,1.040799258289273
4000,15.999999999998682,-225993.69426043762,40673.25511423452,299.9673890018756,157.06777189946303,1.040799258289273
4100,16.399999999998816,-225689.25676043762,40660.24144304474,299.87141249453276,157.06777189946303,1.040799258289273
4200,16.79999999999895,-226361.13176043762,40875.5273043738,301.4591570094609,157.06777189946303,1.040799258289273
4300,17.199999999999083,-226619.25676043762,41501.73388945835,306.0774634070193,157.07498716339606,1.0407514490136813
